Student ID,Name,Total Fee,Total Paid
S-0001,Rahul Yadav,12500.00,12500.00
S-0002,Shakshi Jain,12500.00,0.00
S-0003,Arnav Choudhary,12500.00,12500.00
S-0004,Dhruv Singh,12500.00,0.00
S-0005,Yashika Gupta,12500.00,12500.00
S-0006,Aarav Sharma,12500.00,12500.00
S-0007,Priya Singh,12500.00,0.00
S-0008,Rohan Verma,12500.00,12500.00
S-0009,Sneha Patel,12500.00,12500.00
S-0010,Karan Mehta,12500.00,0.00
S-0011,Ananya Gupta,12500.00,12500.00
S-0012,Vikram Joshi,12500.00,12500.00
S-0013,Neha Reddy,12500.00,0.00
S-0014,Aditya Kumar,12500.00,12500.00
S-0015,Pooja Nair,12500.00,12500.00
S-0016,Manish Yadav,12500.00,0.00
S-0017,Ishita Roy,12500.00,12500.00
S-0018,Arjun Malhotra,12500.00,12500.00
S-0019,Kavya Iyer,12500.00,0.00
S-0020,Devansh Kapoor,12500.00,12500.00
S-0021,Meera Chawla,15000.00,15000.00
S-0022,Harsh Jain,15000.00,0.00
S-0023,Ritika Das,15000.00,15000.00
S-0024,Yash Thakur,15000.00,15000.00
S-0025,Simran Kaur,15000.00,0.00
S-0026,Nikhil Arora,15000.00,15000.00
S-0027,Tanvi Mishra,15000.00,15000.00
S-0028,Siddharth Rao,15000.00,0.00
S-0029,Aisha Khan,15000.00,15000.00
S-0030,Om Prakash,15000.00,15000.00
S-0031,Riya Sharma,15000.00,0.00
S-0032,Aryan Gupta,15000.00,15000.00
S-0033,Muskan Verma,15000.00,15000.00
S-0034,Shivam Tiwari,15000.00,0.00
S-0035,Nandini Rao,15000.00,15000.00
S-0036,Akash Mishra,15000.00,15000.00
S-0037,Diya Kapoor,15000.00,0.00
S-0038,Rahul Sinha,15000.00,15000.00
S-0039,Palak Jain,15000.00,15000.00
S-0040,Ayush Srivastava,15000.00,0.00
S-0041,Krishna Menon,15000.00,15000.00
S-0042,Tanya Bhatia,15000.00,15000.00
S-0043,Ritesh Pandey,15000.00,0.00
S-0044,Sakshi Kulkarni,15000.00,15000.00
S-0045,Varun Desai,15000.00,15000.00
S-0046,Aman Saxena,15000.00,0.00
S-0047,Rohan Agarwal,15000.00,15000.00
S-0048,Nisha Sharma,15000.00,15000.00
S-0049,Harshit Gupta,15000.00,0.00
S-0050,Aditi Mishra,15000.00,15000.00
